studentId,class
1,11O
2,12Z
3,2B
4,7Q
5,4M
6,2L
7,4G
8,7R
9,8D
10,5J
11,12L
12,11X
13,3S
14,12B
15,4G
16,12L
17,6J
18,2R
19,7V
20,9D
21,7O
22,12A
23,10A
24,7K
25,5O
26,8E
27,2J
28,9G
29,11J
30,9Y
31,4D
32,9R
33,9B
34,3O
35,3M
36,12O
37,2O
38,10X
39,1A
40,1X
41,1Z
42,12A
43,2L
44,9V
45,6X
46,2C
47,3Y
48,11H
49,2V
50,6O
51,9R
52,10Q
53,7L
54,12T
55,11R
56,7C
57,1A
58,7U
59,7I
60,9D
61,7C
62,5O
63,2I
64,4K
65,6U
66,3N
67,9K
68,10T
69,12P
70,6X
71,2I
72,7Z
73,12Z
74,9V
75,3S
76,7H
77,1B
78,12Q
79,2D
80,1M
81,7P
82,7Z
83,7D
84,3F
85,7A
86,8K
87,4Q
88,7K
89,10S
90,7L
91,11Z
92,4J
93,12P
94,7S
95,1V
96,3T
97,5B
98,1I
99,2X
100,5Q
101,7F
102,1W
103,9F
104,7L
105,5N
106,9N
107,3Z
108,12R
109,4L
110,1S
111,6V
112,7T
113,1B
114,7X
115,10Q
116,8Z
117,8T
118,4Q
119,2O
120,4R
121,4B
122,5W
123,2H
124,7V
125,9N
126,8H
127,11S
128,10H
129,1S
130,5V
131,10Y
132,2O
133,4X
134,8P
135,12T
136,1U
137,1X
138,3X
139,9R
140,1Q
141,6M
142,12U
143,3L
144,1C
145,7K
146,10X
147,2C
148,10U
149,6B
150,5C
151,5F
152,9R
153,4M
154,6B
155,8Q
156,12K
157,4X
158,5C
159,3H
160,1F
161,8V
162,3I
163,10K
164,11S
165,1C
166,6O
167,6Z
168,6N
169,11S
170,9T
171,7R
172,2Z
173,5D
174,5H
175,2M
176,4E
177,8H
178,9Q
179,10V
180,6D
181,12P
182,2C
183,12B
184,8Y
185,10N
186,4Q
187,8S
188,8W
189,3E
190,12Q
191,3Z
192,4P
193,9V
194,6F
195,11W
196,8Z
197,3D
198,5L
199,4Q
200,11Z
201,6F
202,4E
203,12W
204,10D
205,7I
206,5F
207,5R
208,4Q
209,7Y
210,5Z
211,8I
212,2F
213,12J
214,6T
215,10N
216,4T
217,1R
218,8D
219,8B
220,2T
221,2E
222,6U
223,12Z
224,6L
225,2L
226,12Y
227,10C
228,1G
229,2D
230,6V
231,5S
232,3C
233,10Q
234,3U
235,11P
236,9F
237,6M
238,4V
239,4W
240,5D
241,2Y
242,10P
243,12L
244,4D
245,4X
246,2H
247,5F
248,9Q
249,10W
250,5I
251,2R
252,1E
253,3S
254,8W
255,9H
256,4G
257,9A
258,5C
259,5V
260,12H
261,1O
262,5S
263,3E
264,8D
265,3S
266,2A
267,5A
268,7O
269,3R
270,12Z
271,7J
272,4S
273,6B
274,9Z
275,12E
276,9N
277,5A
278,1J
279,8L
280,10J
281,4C
282,10H
283,8U
284,1S
285,1E
286,6C
287,1H
288,12B
289,5G
290,8H
291,3R
292,8P
293,2U
294,4T
295,3Z
296,6I
297,10R
298,10C
299,5E
300,11P
301,6P
302,4S
303,10T
304,1T
305,5K
306,12S
307,4I
308,4N
309,8E
310,7J
311,9J
312,1H
313,4L
314,8T
315,5N
316,5G
317,1Z
318,8J
319,2A
320,3H
321,10P
322,8D
323,9J
324,5F
325,1K
326,7F
327,5K
328,2T
329,4X
330,2J
331,11D
332,11I
333,5E
334,8E
335,12C
336,3V
337,8Y
338,9F
339,7C
340,1L
341,5M
342,6F
343,3S
344,9A
345,6Y
346,2D
347,2D
348,4H
349,11U
350,6W
351,4J
352,5E
353,8Q
354,2B
355,9F
356,10L
357,5S
358,5V
359,7U
360,9N
361,8Z
362,2H
363,9T
364,6W
365,4J
366,11A
367,2C
368,11W
369,7K
370,1G
371,8X
372,8J
373,11V
374,1F
375,2C
376,12N
377,7D
378,1Y
379,3K
380,5G
381,6Y
382,9W
383,1U
384,10G
385,10C
386,5Q
387,10O
388,1V
389,11S
390,4N
391,5M
392,8V
393,7H
394,6Y
395,1T
396,11E
397,9G
398,5Q
399,5W
400,12N
401,3N
402,10S
403,9F
404,7B
405,12X
406,1V
407,9Y
408,10Y
409,5T
410,2I
411,5D
412,7R
413,5A
414,9P
415,3F
416,12K
417,1R
418,3I
419,6X
420,8J
421,4A
422,6D
423,6I
424,6U
425,3F
426,6U
427,2Q
428,6Z
429,7I
430,2G
431,3U
432,12X
433,7C
434,3C
435,7T
436,4G
437,5P
438,1B
439,8B
440,9T
441,4P
442,2K
443,7F
444,5I
445,10M
446,8G
447,10Y
448,8K
449,3L
450,9P
451,4I
452,3H
453,3L
454,8V
455,10T
456,9T
457,8C
458,4O
459,2X
460,5K
461,12D
462,4I
463,5V
464,3Y
465,6P
466,2F
467,11E
468,1C
469,5H
470,5W
471,6E
472,4E
473,7T
474,5P
475,7X
476,3K
477,7L
478,3H
479,5H
480,9U
481,6V
482,7R
483,6O
484,5M
485,1U
486,9M
487,8G
488,2A
489,2F
490,7W
491,8O
492,2V
493,6D
494,2Q
495,1G
496,2T
497,6R
498,8W
499,4K
500,5G
501,4O
502,7I
503,1H
504,2X
505,8Q
506,11R
507,12Z
508,12M
509,3B
510,4R
511,7R
512,8Z
513,6W
514,10O
515,6U
516,8Z
517,7H
518,4C
519,7T
520,4O
521,1W
522,10T
523,12T
524,7K
525,11N
526,2Z
527,1D
528,6K
529,2R
530,1L
531,11O
532,6E
533,8U
534,11W
535,10T
536,7X
537,4V
538,5U
539,3X
540,5U
541,5H
542,2B
543,1A
544,11V
545,10Z
546,8S
547,3L
548,9A
549,1S
550,8X
551,8O
552,11R
553,9Q
554,4Q
555,12B
556,5E
557,9X
558,7F
559,1R
560,8N
561,8D
562,10Q
563,3G
564,2J
565,6S
566,11M
567,12I
568,8B
569,11H
570,1U
571,12I
572,4F
573,4I
574,10V
575,5L
576,9F
577,10S
578,9Q
579,3G
580,7Y
581,3P
582,4X
583,8K
584,8L
585,4Z
586,3N
587,11P
588,6Q
589,12Q
590,8B
591,2F
592,7A
593,7C
594,10R
595,4B
596,4U
597,6B
598,6I
599,4I
600,8C
601,7H
602,1P
603,12M
604,7N
605,10M
606,5F
607,1W
608,7E
609,1N
610,9M
611,10H
612,12D
613,10Z
614,3W
615,7N
616,7N
617,10X
618,12N
619,10W
620,9V
621,5O
622,5W
623,11M
624,4I
625,2V
626,5F
627,8Y
628,8E
629,5M
630,6J
631,10J
632,6A
633,12D
634,4B
635,7R
636,11X
637,1D
638,10Z
639,6S
640,2Q
641,12Y
642,4R
643,12V
644,9Y
645,4W
646,9N
647,9M
648,2N
649,4C
650,3S
651,1O
652,1Y
653,6D
654,1U
655,5I
656,11J
657,9O
658,5W
659,2D
660,12K
661,5A
662,12I
663,12V
664,5K
665,1I
666,1H
667,5K
668,4J
669,2Q
670,11V
671,12M
672,10C
673,12P
674,3G
675,1R
676,7T
677,3F
678,7Y
679,1D
680,6C
681,2F
682,9Y
683,7Q
684,2B
685,10T
686,12J
687,9C
688,2P
689,12S
690,5B
691,6F
692,6V
693,5T
694,5V
695,5F
696,2L
697,12R
698,2C
699,4N
700,7N
701,4X
702,8T
703,3K
704,8O
705,7H
706,10A
707,4N
708,9A
709,8M
710,11M
711,8R
712,5V
713,9H
714,10J
715,1M
716,11O
717,6Y
718,12I
719,12V
720,12Q
721,8A
722,9R
723,9B
724,9X
